frequency,callsign,city,sp,antenna_type,erp,lat,lon,class,slogan,haat,owner,format,market
102.9,W275DF,CLEVELAND,OH,NDIR,0.05,41.39355555555556,81.65436111111111,D,1420 THE ANSWER,,SALEM COMMUNICATIONS HOLDING CORPORATION,Talk,
102.9,W275DG,JEFFERSON,OH,NDIR,0.215,40.780277777777776,81.935,D,GLORY RADIO,70.6,"SOARING EAGLE PROMOTIONS, INC.",Southern Gospel,
105.9,WDOG-LP,NEW PHILADELPHIA,OH,NDIR,0.1,40.4975,81.46833333333333,LP100,BIG DOG RADIO 105.9,-9.0,Bad Dog Radio,Rock,
95.9,WIOH-LP,Wilmington,OH,NDIR,0.027,39.41111111111111,83.8425,LP100,,57.0,Clinton County Amateur Radio Association,Talk,
98.3,WLGN-FM,LOGAN,OH,NDIR,6.0,39.528666666666666,82.3848888888889,A,98.3 WLGN,67.0,WLGN Radio Company,Classic Hits,
102.9,WVWO-LP,Van Wert,OH,NDIR,0.1,40.87222222222222,84.58888888888889,LP100,REWIND 102-9,12.0,CROCKER MEDIA GROUP LLC,Classic Hits,
103.1,WWLA,JOHNSTOWN,OH,NDIR,1.6,40.228944444444444,82.65983333333334,A,LA MEGA 103.1,135.0,LAZO MEDIA LLC,Regional Mexican,
104.5,W283BL,MALTA,OH,NDIR,0.045,39.643388888888886,81.85788888888888,D,BIBLE BROADCASTING NETWORK,39.3,BELPRE EDUCATIONAL BROADCASTING FOUNDATION,Religious Teaching,
91.9,WKCO,GAMBIER,OH,NDIR,0.265,40.373666666666665,82.39569444444444,A,,58.0,KENYON COLLEGE,Variety,
88.1,W201DP,ASHTABULA,OH,NDIR,0.038,41.86419444444444,80.78488888888889,D,WYSU 88.5,,YOUNGSTOWN STATE UNIVERSITY,Classical/News,
88.3,W202AW,SANDUSKY,OH,NDIR,0.12,41.399499999999996,82.65183333333334,D,BIBLE BROADCASTING NETWORK,29.0,"BIBLE BROADCASTING NETWORK, INC.",Religious Teaching,
88.3,W202CE,COSHOCTON,OH,NDIR,0.25,40.27033333333333,81.85983333333333,D,CLASSICAL 101,-15.2,OHIO STATE UNIVERSITY,Classical,
88.7,W204CQ,PIKETON,OH,NDIR,0.01,39.035888888888884,83.06349999999999,D,K-LOVE,150.7,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,
88.7,W204CU,FINDLAY,OH,NDIR,0.027,40.9995,83.61574999999999,D,AMERICAN FAMILY RADIO,,"Soaring Eagle Promotions, Inc.",Religious Teaching,
89.1,W206BX,FREMONT,OH,DRL,0.055,41.366166666666665,83.08880555555555,D,YES FM,,"SIDE BY SIDE, INC.",Christian Rock,
89.1,W206CH,HINCKLEY,OH,NDIR,0.01,41.24433333333334,81.69805555555556,D,K-LOVE,,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,Cleveland
89.3,W207CC,NEW PHILADELPHIA,OH,NDIR,0.027,40.483111111111114,81.47594444444445,D,BIBLE BROADCASTING NETWORK,67.0,"BIBLE BROADCASTING NETWORK, INC.",Religious Teaching,
